"","acceptedScientificName","acceptedTaxonKey","accessRights","adm1","adm2","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinateUncertaintyInMeters","country","crawlId","created","dataGeneralizations","datasetID","datasetKey","datasetName","dateIdentified","day","disposition","dynamicProperties","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNumber","fullCountry","furtherInformationURL","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http://rs.tdwg.org/dwc/terms/sampleSizeUnit","http://rs.tdwg.org/dwc/terms/sampleSizeValue","http://unknown.org/habitatproperty","http://unknown.org/nick","http://unknown.org/occurrenceDetails","http://unknown.org/recordEnteredBy","http://unknown.org/recordId","identificationID","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","installationKey","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","locationRemarks","lon","materialSampleID","modified","month","municipality","namePublishedIn","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","organismName","organismRemarks","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","parentEventID","phylum","phylumKey","preparations","previousIdentifications","programmeAcronym","projectId","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","sampleSizeUnit","samplingProtocol","scientificName","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate"
"1","Spodoptera litura Fabricius, 1775",5109882,NA,"Queensland",NA,NA,NA,NA,"HUMAN_OBSERVATION","37329451","Insecta",216,"Queensland, Australia","Observations",NA,NA,16829,"Australia",235,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-01-06T12:36:06",6,NA,NA,NA,NA,NA,NA,"2020-01-06T15:44:21",NA,NA,"05:44:21Z","Noctuidae",7015,NA,"Australia",NA,"2550113790","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"johnmacleodtas","https://www.inaturalist.org/observations/37329451",NA,NA,"82754969",NA,NA,"Victor W Fazio III","37329451",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU","2550113790","Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:31:18.676+0000","2020-10-11T14:31:18.676+0000",-25.106232,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,152.561979,NA,"2020-01-12T08:01:50.000+0000",1,NA,NA,NA,"https://www.inaturalist.org/observations/37329451",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","johnmacleodtas",NA,"https://www.inaturalist.org/observations/37329451","© johnmacleodtas some rights reserved","johnmacleodtas",NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,"124875",5109882,"ACCEPTED","SPECIES",NA,NA,"2020-01-06 3:44:21 PM GMT+10:00","Queensland, AU",NA,NA,2020,2020-10-17
"2","Spodoptera litura Fabricius, 1775",5109882,NA,"North-East",NA,NA,NA,NA,"HUMAN_OBSERVATION","37255999","Insecta",216,"North-East, Singapore","Observations",NA,NA,NA,"Singapore",235,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-01-04T06:18:03",3,NA,NA,NA,NA,NA,NA,"2020-01-03T19:36:00",NA,NA,"11:36:00Z","Noctuidae",7015,NA,"Singapore",NA,"2550120824","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sleepy_owl","https://www.inaturalist.org/observations/37255999",NA,NA,"82515733",NA,NA,"sleepy_owl","37255999",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"SG","2550120824","Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:36:16.784+0000","2020-10-11T14:36:16.784+0000",1.3462,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,103.8986,NA,"2020-01-04T06:37:27.000+0000",1,NA,NA,NA,"https://www.inaturalist.org/observations/37255999",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","sleepy_owl",NA,"https://www.inaturalist.org/observations/37255999","© sleepy_owl some rights reserved","sleepy_owl",NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,"124875",5109882,"ACCEPTED","SPECIES",NA,NA,"2020/01/03 7:36 PM +0800","Airport Rd, Singapore",NA,NA,2020,2020-10-17
"3","Spodoptera litura Fabricius, 1775",5109882,NA,"East",NA,NA,NA,NA,"HUMAN_OBSERVATION","37585997","Insecta",216,"East, Singapore","Observations",NA,NA,751,"Singapore",235,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-01-14T14:57:33",14,NA,NA,NA,NA,NA,NA,"2020-01-14T22:46:00",NA,NA,"14:46:00Z","Noctuidae",7015,NA,"Singapore",NA,"2557794103","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sleepy_owl","https://www.inaturalist.org/observations/37585997",NA,NA,"83557637",NA,NA,"sleepy_owl","37585997",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"SG","2557794103","Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:19:59.842+0000","2020-10-11T14:19:59.842+0000",1.372965,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,103.954965,NA,"2020-01-14T15:46:41.000+0000",1,NA,NA,NA,"https://www.inaturalist.org/observations/37585997",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","sleepy_owl",NA,"https://www.inaturalist.org/observations/37585997","© sleepy_owl some rights reserved","sleepy_owl",NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,"124875",5109882,"ACCEPTED","SPECIES",NA,NA,"2020/01/14 10:46 PM +0800","Pasir Ris, Singapore",NA,NA,2020,2020-10-17
"4","Spodoptera litura Fabricius, 1775",5109882,NA,"New South Wales",NA,NA,NA,NA,"HUMAN_OBSERVATION","37610191","Insecta",216,"New South Wales, Australia","Observations",NA,NA,4,"Australia",235,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-01-15T08:32:11",14,NA,NA,NA,NA,NA,NA,"2020-01-14T23:01:00",NA,NA,"12:01:00Z","Noctuidae",7015,NA,"Australia",NA,"2557803910","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vicfazio3","https://www.inaturalist.org/observations/37610191",NA,NA,"83694701",NA,NA,"Victor W Fazio III","37610191",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU","2557803910","Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:29:20.409+0000","2020-10-11T14:29:20.409+0000",-31.941695,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,152.400882,NA,"2020-01-15T09:52:44.000+0000",1,NA,NA,NA,"https://www.inaturalist.org/observations/37610191",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Victor W Fazio III",NA,"https://www.inaturalist.org/observations/37610191","© Victor W Fazio III some rights reserved","Victor W Fazio III",NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,"124875",5109882,"ACCEPTED","SPECIES",NA,NA,"2020/01/14 11:01 PM AEDT","Bull Hill, Tinonee NSW 2430, Australia",NA,NA,2020,2020-10-17
"5","Spodoptera litura Fabricius, 1775",5109882,NA,"New South Wales",NA,NA,NA,NA,"HUMAN_OBSERVATION","37824831","Insecta",216,"New South Wales, Australia","Observations",NA,NA,4,"Australia",235,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-01-21T21:42:49",20,NA,NA,NA,NA,NA,NA,"2020-01-20T23:04:00",NA,NA,"12:04:00Z","Noctuidae",7015,NA,"Australia",NA,"2563547815","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vicfazio3","https://www.inaturalist.org/observations/37824831",NA,NA,"84528936",NA,NA,"Victor W Fazio III","37824831",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU","2563547815","Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:31:16.664+0000","2020-10-11T14:31:16.664+0000",-31.941703,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,152.400891,NA,"2020-01-21T21:46:23.000+0000",1,NA,NA,NA,"https://www.inaturalist.org/observations/37824831",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Victor W Fazio III",NA,"https://www.inaturalist.org/observations/37824831","© Victor W Fazio III some rights reserved","Victor W Fazio III",NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,"124875",5109882,"ACCEPTED","SPECIES",NA,NA,"2020/01/20 11:04 PM AEDT","Bull Hill, Tinonee NSW 2430, Australia",NA,NA,2020,2020-10-17
"6","Spodoptera litura Fabricius, 1775",5109882,NA,NA,"<U+65B0><U+5317><U+5E02>","http://twmoth.tesri.gov.tw/peo/FBMothInfo/310664",NA,NA,"HUMAN_OBSERVATION","310664","Insecta",216,"<U+9802><U+6CF0><U+5C71><U+5DD6>, <U+65B0><U+5317><U+5E02>, Taiwan",NA,NA,NA,NA,"Taiwan",151,NA,NA,NA,"e0b8cb67-6667-423d-ab71-08021b6485f3",NA,NA,18,NA,NA,NA,NA,NA,NA,"2020-01-18T00:00:00",NA,NA,NA,"Noctuidae",7015,NA,"Taiwan, Province of China",NA,"2565943744","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TwMoth310664",1,NA,"08eefeeb-e20f-4482-8e0f-f218547e2f50","tesri",NA,"TW","2565943744","Animalia",1,NA,"2020-09-27T01:31:04.090+0000","2020-09-27T01:34:03.948+0000","2020-09-27T01:34:03.948+0000",25.043775,"http://creativecommons.org/licenses/by/4.0/legalcode","ADULT","<U+9802><U+6CF0><U+5C71><U+5DD6>",NA,NA,121.423491,NA,NA,1,"<U+6CF0><U+5C71><U+5340>",NA,NA,"TwMoth310664",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","TW","7c07cec1-2925-443c-81f1-333e4187bdea","<U+6C5F><U+7F8E><U+84C9><U+200E>",NA,NA,NA,NA,NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,NA,5109882,"ACCEPTED","SPECIES",NA,"18",NA,NA,NA,"<U+659C><U+7D0B><U+591C><U+86FE>",2020,2020-10-17
"8","Spodoptera litura Fabricius, 1775",5109882,NA,NA,"<U+65B0><U+5317><U+5E02>","http://twmoth.tesri.gov.tw/peo/FBMothInfo/310318",NA,NA,"HUMAN_OBSERVATION","310318","Insecta",216,"<U+8015><U+8398><U+91AB><U+9662>, <U+65B0><U+5317><U+5E02>, Taiwan",NA,NA,NA,NA,"Taiwan",151,NA,NA,NA,"e0b8cb67-6667-423d-ab71-08021b6485f3",NA,NA,18,NA,NA,NA,NA,NA,NA,"2020-01-18T00:00:00",NA,NA,NA,"Noctuidae",7015,NA,"Taiwan, Province of China",NA,"2565946401","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TwMoth310318",1,NA,"08eefeeb-e20f-4482-8e0f-f218547e2f50","tesri",NA,"TW","2565946401","Animalia",1,NA,"2020-09-27T01:31:04.090+0000","2020-09-27T01:34:04.320+0000","2020-09-27T01:34:04.320+0000",24.976288,"http://creativecommons.org/licenses/by/4.0/legalcode","ADULT","<U+8015><U+8398><U+91AB><U+9662>",NA,NA,121.535768,NA,NA,1,"<U+65B0><U+5E97><U+5340>",NA,NA,"TwMoth310318",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","TW","7c07cec1-2925-443c-81f1-333e4187bdea","<U+674E><U+7FE0><U+5A1F><U+200E>",NA,NA,NA,NA,NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,NA,5109882,"ACCEPTED","SPECIES",NA,"17",NA,NA,NA,"<U+659C><U+7D0B><U+591C><U+86FE>",2020,2020-10-17
"9","Spodoptera litura Fabricius, 1775",5109882,NA,NA,"<U+82D7><U+6817><U+7E23>","http://twmoth.tesri.gov.tw/peo/FBMothInfo/307711",NA,NA,"HUMAN_OBSERVATION","307711","Insecta",216,"<U+50D1><U+6A02><U+570B><U+5C0F>, <U+82D7><U+6817><U+7E23>, Taiwan",NA,NA,NA,NA,"Taiwan",151,NA,NA,NA,"e0b8cb67-6667-423d-ab71-08021b6485f3",NA,NA,2,NA,NA,NA,NA,NA,NA,"2020-01-02T00:00:00",NA,NA,NA,"Noctuidae",7015,NA,"Taiwan, Province of China",NA,"2565947486","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TwMoth307711",1,NA,"08eefeeb-e20f-4482-8e0f-f218547e2f50","tesri",NA,"TW","2565947486","Animalia",1,NA,"2020-09-27T01:31:04.090+0000","2020-09-27T01:34:01.465+0000","2020-09-27T01:34:01.465+0000",24.603528,"http://creativecommons.org/licenses/by/4.0/legalcode","ADULT","<U+50D1><U+6A02><U+570B><U+5C0F>",NA,NA,120.888944,NA,NA,1,"<U+9020><U+6A4B><U+9109>",NA,NA,"TwMoth307711",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","TW","7c07cec1-2925-443c-81f1-333e4187bdea","<U+6234><U+5FD7><U+6751>",NA,NA,NA,NA,NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,NA,5109882,"ACCEPTED","SPECIES",NA,"67",NA,NA,NA,"<U+659C><U+7D0B><U+591C><U+86FE>",2020,2020-10-17
"10","Spodoptera litura Fabricius, 1775",5109882,NA,NA,"<U+53F0><U+5317><U+5E02>","http://twmoth.tesri.gov.tw/peo/FBMothInfo/308981",NA,NA,"HUMAN_OBSERVATION","308981","Insecta",216,"<U+660E><U+8208><U+91CC>, <U+53F0><U+5317><U+5E02>, Taiwan",NA,NA,NA,NA,"Taiwan",151,NA,NA,NA,"e0b8cb67-6667-423d-ab71-08021b6485f3",NA,NA,4,NA,NA,NA,NA,NA,NA,"2020-01-04T00:00:00",NA,NA,NA,"Noctuidae",7015,NA,"Taiwan, Province of China",NA,"2565947682","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TwMoth308981",1,NA,"08eefeeb-e20f-4482-8e0f-f218547e2f50","tesri",NA,"TW","2565947682","Animalia",1,NA,"2020-09-27T01:31:04.090+0000","2020-09-27T01:34:04.476+0000","2020-09-27T01:34:04.476+0000",24.990822,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"<U+660E><U+8208><U+91CC>",NA,NA,121.562179,NA,NA,1,"<U+6587><U+5C71><U+5340>",NA,NA,"TwMoth308981",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","TW","7c07cec1-2925-443c-81f1-333e4187bdea","A-fu Kao<U+200E>",NA,NA,NA,NA,NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,NA,5109882,"ACCEPTED","SPECIES",NA,"41",NA,NA,NA,"<U+659C><U+7D0B><U+591C><U+86FE>",2020,2020-10-17
"11","Spodoptera litura Fabricius, 1775",5109882,NA,NA,"<U+96F2><U+6797><U+7E23>","http://twmoth.tesri.gov.tw/peo/FBMothInfo/309053",NA,NA,"HUMAN_OBSERVATION","309053","Insecta",216,"<U+68CB><U+5C71><U+570B><U+5C0F>, <U+96F2><U+6797><U+7E23>, Taiwan",NA,NA,NA,NA,"Taiwan",151,NA,NA,NA,"e0b8cb67-6667-423d-ab71-08021b6485f3",NA,NA,6,NA,NA,NA,NA,NA,NA,"2020-01-06T00:00:00",NA,NA,NA,"Noctuidae",7015,NA,"Taiwan, Province of China",NA,"2565948505","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TwMoth309053",1,NA,"08eefeeb-e20f-4482-8e0f-f218547e2f50","tesri",NA,"TW","2565948505","Animalia",1,NA,"2020-09-27T01:31:04.090+0000","2020-09-27T01:34:03.941+0000","2020-09-27T01:34:03.941+0000",23.686121,"http://creativecommons.org/licenses/by/4.0/legalcode","ADULT","<U+68CB><U+5C71><U+570B><U+5C0F>",NA,NA,120.603883,NA,NA,1,"<U+53E4><U+5751><U+9109>",NA,NA,"TwMoth309053",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","TW","7c07cec1-2925-443c-81f1-333e4187bdea","<U+6797><U+6587><U+74A8>",NA,NA,NA,NA,NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,NA,5109882,"ACCEPTED","SPECIES",NA,"112",NA,NA,NA,"<U+659C><U+7D0B><U+591C><U+86FE>",2020,2020-10-17
"12","Spodoptera litura Fabricius, 1775",5109882,NA,NA,"<U+5609><U+7FA9><U+7E23>","http://twmoth.tesri.gov.tw/peo/FBMothInfo/309450",NA,NA,"HUMAN_OBSERVATION","309450","Insecta",216,"<U+5149><U+83EF><U+793E><U+5340>, <U+5609><U+7FA9><U+7E23>, Taiwan",NA,NA,NA,NA,"Taiwan",151,NA,NA,NA,"e0b8cb67-6667-423d-ab71-08021b6485f3",NA,NA,10,NA,NA,NA,NA,NA,NA,"2020-01-10T00:00:00",NA,NA,NA,"Noctuidae",7015,NA,"Taiwan, Province of China",NA,"2565949279","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TwMoth309450",1,NA,"08eefeeb-e20f-4482-8e0f-f218547e2f50","tesri",NA,"TW","2565949279","Animalia",1,NA,"2020-09-27T01:31:04.090+0000","2020-09-27T01:34:04.329+0000","2020-09-27T01:34:04.329+0000",23.478064,"http://creativecommons.org/licenses/by/4.0/legalcode","ADULT","<U+5149><U+83EF><U+793E><U+5340>",NA,NA,120.674707,NA,NA,1,"<U+7AF9><U+5D0E><U+9109>",NA,NA,"TwMoth309450",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","TW","7c07cec1-2925-443c-81f1-333e4187bdea","<U+9AD8><U+4F73><U+4F36>",NA,NA,NA,NA,NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,NA,5109882,"ACCEPTED","SPECIES",NA,"902",NA,NA,NA,"<U+659C><U+7D0B><U+591C><U+86FE>",2020,2020-10-17
"13","Spodoptera litura Fabricius, 1775",5109882,NA,NA,"<U+82D7><U+6817><U+7E23>","http://twmoth.tesri.gov.tw/peo/FBMothInfo/311762",NA,NA,"HUMAN_OBSERVATION","311762","Insecta",216,"<U+5EFA><U+8C50><U+6D17><U+6C99><U+5EE0>, <U+82D7><U+6817><U+7E23>, Taiwan",NA,NA,NA,NA,"Taiwan",151,NA,NA,NA,"e0b8cb67-6667-423d-ab71-08021b6485f3",NA,NA,26,NA,NA,NA,NA,NA,NA,"2020-01-26T00:00:00",NA,NA,NA,"Noctuidae",7015,NA,"Taiwan, Province of China",NA,"2565949943","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TwMoth311762",1,NA,"08eefeeb-e20f-4482-8e0f-f218547e2f50","tesri",NA,"TW","2565949943","Animalia",1,NA,"2020-09-27T01:31:04.090+0000","2020-09-27T01:34:01.095+0000","2020-09-27T01:34:01.095+0000",24.686384,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,"<U+5EFA><U+8C50><U+6D17><U+6C99><U+5EE0>",NA,NA,120.923083,NA,NA,1,"<U+982D><U+4EFD><U+5E02>",NA,NA,"TwMoth311762",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","TW","7c07cec1-2925-443c-81f1-333e4187bdea","<U+6F58><U+8309><U+9E97>",NA,NA,NA,NA,NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,NA,5109882,"ACCEPTED","SPECIES",NA,"25",NA,NA,NA,"<U+659C><U+7D0B><U+591C><U+86FE>",2020,2020-10-17
"14","Spodoptera litura Fabricius, 1775",5109882,NA,"North",NA,NA,NA,NA,"HUMAN_OBSERVATION","38147814","Insecta",216,"North, Singapore","Observations",NA,NA,212,"Singapore",235,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-01-31T16:07:38",31,NA,NA,NA,NA,NA,NA,"2020-01-31T21:36:00",NA,NA,"13:36:00Z","Noctuidae",7015,NA,"Singapore",NA,"2573833541","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"budak","https://www.inaturalist.org/observations/38147814",NA,NA,"85491391",NA,NA,"budak","38147814",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"SG","2573833541","Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:29:14.706+0000","2020-10-11T14:29:14.706+0000",1.414325,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,103.842761,NA,"2020-02-01T11:51:06.000+0000",1,NA,NA,NA,"https://www.inaturalist.org/observations/38147814",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","budak",NA,"https://www.inaturalist.org/observations/38147814","© budak some rights reserved","budak",NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,"124875",5109882,"ACCEPTED","SPECIES",NA,NA,"2020/01/31 9:36 PM +0800","Yishun, Singapore",NA,NA,2020,2020-10-17
"15","Spodoptera litura Fabricius, 1775",5109882,NA,"Taiwan",NA,NA,NA,NA,"HUMAN_OBSERVATION","37871598","Insecta",216,"Taiwan, Taiwan","Observations",NA,NA,10,"Taiwan",235,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-01-23T12:08:29",17,NA,NA,NA,NA,NA,NA,"2020-01-17T20:16:00",NA,NA,"06:16:00Z","Noctuidae",7015,NA,"Taiwan, Province of China",NA,"2573902502","Spodoptera","Spodoptera",1765207,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"papilioshih","https://www.inaturalist.org/observations/37871598",NA,NA,"84678709",NA,NA,"<U+65BD><U+79AE><U+6B63>","37871598",NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"TW","2573902502","Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:41:55.443+0000","2020-10-11T14:41:55.443+0000",23.85303,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,120.938485,NA,"2020-02-16T04:32:06.000+0000",1,NA,NA,NA,"https://www.inaturalist.org/observations/37871598",NA,"PRESENT","Lepidoptera",797,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","<U+65BD><U+79AE><U+6B63>",NA,"https://www.inaturalist.org/observations/37871598","© <U+65BD><U+79AE><U+6B63> some rights reserved","<U+65BD><U+79AE><U+6B63>",NA,NA,"Spodoptera litura Fabricius, 1775",NA,"Spodoptera litura",5109882,"litura",NA,NA,"124875",5109882,"ACCEPTED","SPECIES",NA,NA,"2020/01/17 8:16 PM HST","<U+53F0><U+7063><U+5357><U+6295><U+7E23><U+65E5><U+6708><U+6F6D><U+9752><U+5E74><U+6D3B><U+52D5><U+4E2D><U+5FC3>",NA,NA,2020,2020-10-17
