"","acceptedNameUsage","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","continent","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","disposition","dynamicProperties","elevation","elevationAccuracy","eventDate","eventID","eventRemarks","family","familyKey","fieldNotes","fieldNumber","footprintSRS","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/language","http://unknown.org/rights","http://unknown.org/rightsHolder","identificationID","identificationRemarks","identifiedBy","identifier","individualCount","infraspecificEpithet","installationKey","institutionCode","institutionID","institutionKey","isInCluster","ISO2","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","locality","locationAccordingTo","locationRemarks","lon","materialSampleID","modified","month","municipality","namePublishedIn","namePublishedInYear","nomenclaturalCode","nomenclaturalStatus","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismQuantityType","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","programmeAcronym","projectId","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rightsHolder","samplingProtocol","scientificName","species","speciesKey","specificEpithet","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimIdentification","verbatimLocality","year","downloadDate"
"2",NA,"Alectra vogelii Benth.",3724340,"Atacora",NA,NA,"OCCURRENCE",NA,"9471","Magnoliopsida",220,"Tchétou, Bassila , Atacora, Benin, AFRICA","UAC",NA,NA,"AFRICA",NA,"Benin",247,NA,"0eac2479-e5d8-4e9d-bc7d-9dc689c159d5",NA,"1846-01-01T00:00:00",25,NA,NA,NA,NA,"2013-09-25T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Benin","883353466","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,"Savanes et cultures.",NA,NA,"b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,NA,NA,"Houngnon s.n","9471",NA,NA,"842b6a28-624a-4ddc-a96e-04d0ce819fce","Laboratoire des Sciences Forestières(LSF/UAC)",NA,NA,FALSE,"BJ","NE",883353466,"Plantae",6,NA,"2022-07-09T23:26:25.518+00:00","2022-09-08T11:46:46.849+00:00","2022-09-08T11:46:46.849+00:00",9.0166,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","""Tchétou, Bassila """,NA,NA,1.6666,NA,NA,9,"Bassila",NA,NA,NA,NA,"9471",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","BJ","b2db85d5-c5fe-4125-9e36-590a5f651829",NA,NA,NA,NA,"Ehaustive expploration","Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2022-10-23
"4",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"K000468328","Magnoliopsida",220,"21 km on Ipole-Inyonga road., Tanzania","Herbarium",NA,"dceb8d52-094c-4c2c-8960-75e0097c6861",NA,0.2,"Tanzania",153,NA,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5",NA,NA,19,NA,NA,975,NA,"2006-05-19T00:00:00",NA,"Orange roots; corolla pure yellow, no markings.","Orobanchaceae",6651,NA,NA,NA,"Tanzania, United Republic of","912391619","Alectra","Alectra",3172194,"WGS84",NA,NA,"GPS",NA,NA,"Tall Brachystegia woodland on white sandy soil.","SCROPHULARIACEAE",NA,"061b4f20-f241-11da-a328-b8a03c50a862",NA,NA,NA,NA,NA,NA,"K000468328",NA,NA,"996e30f8-f762-11e1-a439-00145eb45e9a","K",NA,"fa252605-26f6-426c-9892-94d071c2c77f",FALSE,"TZ","NE",912391619,"Plantae",6,NA,"2022-04-22T09:53:15.711+00:00","2022-09-09T03:10:14.168+00:00","2022-09-09T03:10:14.168+00:00",-5.92,"http://creativecommons.org/licenses/by/4.0/legalcode","21 km on Ipole-Inyonga road.",NA,NA,32.62,NA,"2008-01-15T15:45:29.060+00:00",5,NA,NA,NA,NA,NA,"http://specimens.kew.org/herbarium/K000468328",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","GB","061b4f20-f241-11da-a328-b8a03c50a862","Vollesen, K.; Bidgood, S.; Leliyo, G.; Hoenselaar, K.","6097",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,2022-10-23
"5",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"K000468059","Magnoliopsida",220,"12 km on Kondoa-Dodoma road, Tanzania","Herbarium",NA,"dceb8d52-094c-4c2c-8960-75e0097c6861",NA,0.2,"Tanzania",153,NA,"cd6e21c8-9e8a-493a-8a76-fbf7862069e5",NA,NA,4,NA,NA,1250,NA,"2006-06-04T00:00:00",NA,"Perennial; roots orange; flowers ...","Orobanchaceae",6651,NA,NA,NA,"Tanzania, United Republic of","912391355","Alectra","Alectra",3172194,"WGS84",NA,NA,"GPS",NA,NA,"Along rocky riverbed.","SCROPHULARIACEAE",NA,"061b4f20-f241-11da-a328-b8a03c50a862",NA,NA,NA,NA,NA,NA,"K000468059",NA,NA,"996e30f8-f762-11e1-a439-00145eb45e9a","K",NA,"fa252605-26f6-426c-9892-94d071c2c77f",FALSE,"TZ","NE",912391355,"Plantae",6,NA,"2022-04-22T09:53:15.711+00:00","2022-09-09T03:10:14.423+00:00","2022-09-09T03:10:14.423+00:00",-4.97,"http://creativecommons.org/licenses/by/4.0/legalcode","12 km on Kondoa-Dodoma road",NA,NA,35.8,NA,"2007-11-01T14:49:20.290+00:00",6,NA,NA,NA,NA,NA,"http://specimens.kew.org/herbarium/K000468059",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","GB","061b4f20-f241-11da-a328-b8a03c50a862","Vollesen, K.; Bidgood, S.; Leliyo, G.; Hoenselaar, K.","6366",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,2022-10-23
"7",NA,"Alectra vogelii Benth.",3724340,"Central",NA,NA,"PRESERVED_SPECIMEN","http://www.tropicos.org/Specimen/1004759","1004759","Magnoliopsida",220,"Lusaka District, Nachitete: along Kafue Powerline; 8.5 km S along Chifwema Road; then 5 km E along Kafue Powerline Road, S-SE of Lusaka.  Collections in remnant forest, along cultivations on limestone and quartz outcrops., Central, Zambia, AFRICA","MO","http://biocol.org/urn:lsid:biocol.org:col:15859",NA,"AFRICA",NA,"Zambia",192,NA,"7bd65a7a-f762-11e1-a439-00145eb45e9a","Tropicos","2007-01-01T00:00:00",18,NA,NA,NA,NA,"1996-02-18T00:00:00",NA,NA,"Orobanchaceae",6651,NA,"210",NA,"Zambia","1257822699","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"90fd6680-349f-11d8-aa2d-b8a03c50a862",NA,NA,NA,NA,NA,"J. Morawetz (OS)","urn:catalog:MO:Tropicos:1004759",2,NA,"c4e134d3-c68f-406d-a116-6a37895602e0","MO",NA,"1be3aa67-8f90-4309-92f4-bd55426a8c09",FALSE,"ZM","NE",1257822699,"Plantae",6,NA,"2022-04-22T08:04:04.184+00:00","2022-09-09T00:17:08.340+00:00","2022-09-09T00:17:08.340+00:00",-15.59666,"http://creativecommons.org/licenses/by/4.0/legalcode","Lusaka District, Nachitete: along Kafue Powerline; 8.5 km S along Chifwema Road; then 5 km E along Kafue Powerline Road, S-SE of Lusaka.  Collections in remnant forest, along cultivations on limestone and quartz outcrops.",NA,NA,28.49888,NA,NA,2,NA,NA,NA,"ICNafp","No opinion","urn:catalog:MO:Tropicos:1004759",NA,"PRESENT","Lamiales",408,NA,NA,"MOBOT","Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","US","90fd6680-349f-11d8-aa2d-b8a03c50a862","Daniel K. Harder|Michael Graham Bingham","Harder 3489",NA,"Missouri Botanical Garden",NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,"29203566",3724340,"ACCEPTED","SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,1996,2022-10-23
"8",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"FR-0021025","Magnoliopsida",220,"Kwaya Bura bei Biu, Nigeria","FR",NA,NA,NA,NA,"Nigeria",190,NA,"966426ce-f762-11e1-a439-00145eb45e9a",NA,NA,30,NA,NA,NA,NA,"1995-09-30T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Nigeria","3046039233","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"c76cf030-2a95-11da-9cc1-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,"60383ab8-f762-11e1-a439-00145eb45e9a","SMF",NA,"16946ec1-8db3-45b8-b084-7644384cc5f5",FALSE,"NG","NE",3046039233,"Plantae",6,NA,"2022-10-18T17:47:37.654+00:00","2022-10-19T00:34:57.007+00:00","2022-10-19T00:34:57.007+00:00",10.533333,"http://creativecommons.org/licenses/by/4.0/legalcode","Kwaya Bura bei Biu",NA,NA,12.116667,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"BIOCASE","DE","c76cf030-2a95-11da-9cc1-b8a03c50a862",NA,NA,NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,2022-10-23
"12",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"FR-0021026","Magnoliopsida",220,"Straße Fada N'Gourma - Kantchari km 7, Burkina Faso","FR",NA,NA,NA,NA,"Burkina Faso",190,NA,"966426ce-f762-11e1-a439-00145eb45e9a",NA,NA,28,NA,NA,NA,NA,"1993-09-28T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Burkina Faso","3046110237","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"c76cf030-2a95-11da-9cc1-b8a03c50a862",NA,NA,NA,NA,NA,NA,NA,NA,NA,"60383ab8-f762-11e1-a439-00145eb45e9a","SMF",NA,"16946ec1-8db3-45b8-b084-7644384cc5f5",FALSE,"BF","NE",3046110237,"Plantae",6,NA,"2022-10-18T17:47:37.654+00:00","2022-10-19T00:35:05.049+00:00","2022-10-19T00:35:05.049+00:00",12.066667,"http://creativecommons.org/licenses/by/4.0/legalcode","Straße Fada N'Gourma - Kantchari km 7",NA,NA,0.35,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"BIOCASE","DE","c76cf030-2a95-11da-9cc1-b8a03c50a862",NA,NA,NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,2022-10-23
"13",NA,"Alectra vogelii Benth.",3724340,"Central Region",NA,NA,"PRESERVED_SPECIMEN",NA,"WAG.1925720","Magnoliopsida",220,"Senga Bay., Central Region, Malawi, AFRICA","Botany",NA,NA,"AFRICA",NA,"Malawi",245,NA,"15f819bd-6612-4447-854b-14d12ee1022d",NA,"2013-06-20T00:00:00",15,NA,NA,NA,NA,"1991-04-15T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Malawi","2516076676","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,"Forested granitic hills, with open Brachystegia-Julbernardia woodland. Sandy soil.","Plantae|Magnoliopsidae|Lamiales|Scrophulariaceae",NA,"396d5f30-dea9-11db-8ab4-b8a03c50a862",NA,NA,NA,NA,NA,"Breteler FJ","WAG.1925720@BRAHMS",NA,NA,"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf",NA,"Naturalis Biodiversity Center",NA,FALSE,"MW","NE",2516076676,"Plantae",6,NA,"2022-08-23T07:18:18.881+00:00","2022-09-08T17:35:04.811+00:00","2022-09-08T17:35:04.811+00:00",-13.716667,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Senga Bay.",NA,NA,34.633333,NA,NA,4,NA,NA,NA,"ICN",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1925720",NA,"PRESENT","Lamiales",408,NA,"WAG0089935|6294",NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NL","396d5f30-dea9-11db-8ab4-b8a03c50a862","Wilde JJFE de","Wilde, JJFE de  10624 ",NA,"Naturalis Biodiversity Center",NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"475 m",NA,NA,NA,1991,2022-10-23
"14",NA,"Alectra vogelii Benth.",3724340,"Kolokani",NA,NA,"PRESERVED_SPECIMEN",NA,"P00520108","Magnoliopsida",220,"7 km au Nord-Ouest de Kolokani, Kolokani, Mali","P",NA,"bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2",NA,NA,"Mali",417,NA,"b5cdf794-8fa4-4a85-8b26-755d087bf531",NA,NA,8,NA,NA,NA,NA,"1989-10-08T00:00:00",NA,"Parasite sur Niébé","Orobanchaceae",6651,"Tige orangé vif dans sa partie souterraine","22784",NA,"Mali","437643775","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"2cd829bb-b713-433d-99cf-64bef11e5b3e",NA,NA,NA,NA,NA,"Morawetz","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520108",NA,NA,"86c2834b-fcd6-418d-9b32-aca45110a0fe","MNHN","http://grbio.org/institution/museum-national-dhistoire-naturelle","6a6ac6c5-1b8a-48db-91a2-f8661274ff80",FALSE,"ML","NE",437643775,"Plantae",6,NA,"2022-10-19T14:21:46.018+00:00","2022-10-19T14:57:59.222+00:00","2022-10-19T14:57:59.222+00:00",13.60556,"http://creativecommons.org/licenses/by/4.0/legalcode","7 km au Nord-Ouest de Kolokani",NA,NA,-8.09167,NA,NA,10,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520108",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,"hb",NA,NA,"DWC_ARCHIVE","FR","2cd829bb-b713-433d-99cf-64bef11e5b3e","Raynal-Roques, A.",NA,NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Koulikoroni, 7 km au Nord-Ouest de Kolokani (13°N, 8°W)",1989,2022-10-23
"18",NA,"Alectra vogelii Benth.",3724340,"Kati",NA,NA,"PRESERVED_SPECIMEN",NA,"P00520111","Magnoliopsida",220,"Kobalakoro, Kati, Mali","P",NA,"bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2",NA,NA,"Mali",417,NA,"b5cdf794-8fa4-4a85-8b26-755d087bf531",NA,NA,1,NA,NA,NA,NA,"1988-10-01T00:00:00",NA,"Chaos gréseux sur une colline basse, culture au bas de la colline, entre les rochers arrondis. Parasite sur niébé (Vigna unguiculata) cultivé","Orobanchaceae",6651,NA,"22552",NA,"Mali","438309738","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"2cd829bb-b713-433d-99cf-64bef11e5b3e",NA,NA,NA,NA,NA,"Morawetz","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520111",NA,NA,"86c2834b-fcd6-418d-9b32-aca45110a0fe","MNHN","http://grbio.org/institution/museum-national-dhistoire-naturelle","6a6ac6c5-1b8a-48db-91a2-f8661274ff80",FALSE,"ML","NE",438309738,"Plantae",6,NA,"2022-10-19T14:21:46.018+00:00","2022-10-19T14:58:45.818+00:00","2022-10-19T14:58:45.818+00:00",12.58333,"http://creativecommons.org/licenses/by/4.0/legalcode","Kobalakoro",NA,NA,-7.76667,NA,NA,10,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520111",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,"hb",NA,NA,"DWC_ARCHIVE","FR","2cd829bb-b713-433d-99cf-64bef11e5b3e","Raynal-Roques, A.",NA,NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Kobalakoro, à quelques km à l'ouest de Dyalakorobougou (à env. 30 km de Bamako sur la route de Ségou) (12°N; 7°W)",1988,2022-10-23
"19",NA,"Alectra vogelii Benth.",3724340,"Comoe",NA,NA,"PRESERVED_SPECIMEN",NA,"P00520106","Magnoliopsida",220,"Banfora, Comoe, Burkina Faso","P",NA,"bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2",NA,NA,"Burkina Faso",417,NA,"b5cdf794-8fa4-4a85-8b26-755d087bf531",NA,NA,10,NA,NA,NA,NA,"1987-10-10T00:00:00",NA,"Parasite sur Arachide","Orobanchaceae",6651,NA,"22425",NA,"Burkina Faso","438309736","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"2cd829bb-b713-433d-99cf-64bef11e5b3e",NA,NA,NA,NA,NA,"Morawetz","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520106",NA,NA,"86c2834b-fcd6-418d-9b32-aca45110a0fe","MNHN","http://grbio.org/institution/museum-national-dhistoire-naturelle","6a6ac6c5-1b8a-48db-91a2-f8661274ff80",TRUE,"BF","NE",438309736,"Plantae",6,NA,"2022-10-19T14:21:46.018+00:00","2022-10-19T14:58:04.169+00:00","2022-10-19T14:58:04.169+00:00",10.63333,"http://creativecommons.org/licenses/by/4.0/legalcode","Banfora",NA,NA,-4.76667,NA,NA,10,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520106",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,"hb",NA,NA,"DWC_ARCHIVE","FR","2cd829bb-b713-433d-99cf-64bef11e5b3e","Raynal-Roques, A.",NA,NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Banfora. Culture vivrière entre les champs de canne à sucre de la SOCUSO et la falaise",1987,2022-10-23
"21",NA,"Alectra vogelii Benth.",3724340,"Sikasso",NA,NA,"PRESERVED_SPECIMEN",NA,"P00520112","Magnoliopsida",220,"Sikasso, Sikasso, Mali","P",NA,"bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2",NA,NA,"Mali",417,NA,"b5cdf794-8fa4-4a85-8b26-755d087bf531",NA,NA,28,NA,NA,NA,NA,"1986-09-28T00:00:00",NA,"Parasite du niébé (Vigna) cultivé","Orobanchaceae",6651,"Plante vert pâle, un peu charnue. Base de la tige orangée. Fleur jaune, corolle étalée en roue le matin; anthères brunes; style épais, courbé, vert.Haustorium blanchâtre, arrondis; section veinée d'orangé; odorant quand on le coupe","22199",NA,"Mali","438642435","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"2cd829bb-b713-433d-99cf-64bef11e5b3e",NA,NA,NA,NA,NA,"Morawetz","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520112",NA,NA,"86c2834b-fcd6-418d-9b32-aca45110a0fe","MNHN","http://grbio.org/institution/museum-national-dhistoire-naturelle","6a6ac6c5-1b8a-48db-91a2-f8661274ff80",FALSE,"ML","NE",438642435,"Plantae",6,NA,"2022-10-19T14:21:46.018+00:00","2022-10-19T14:58:45.630+00:00","2022-10-19T14:58:45.630+00:00",11.31667,"http://creativecommons.org/licenses/by/4.0/legalcode","Sikasso",NA,NA,-5.66667,NA,NA,9,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520112",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,"hb",NA,NA,"DWC_ARCHIVE","FR","2cd829bb-b713-433d-99cf-64bef11e5b3e","Raynal-Roques, A.",NA,NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Sikasso, cultures vivrières à la mimite N de la ville",1986,2022-10-23
"23",NA,"Alectra vogelii Benth.",3724340,"Sanguile",NA,NA,"PRESERVED_SPECIMEN",NA,"P00520107","Magnoliopsida",220,"Sanguile, Burkina Faso","P",NA,"bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2",NA,NA,"Burkina Faso",417,NA,"b5cdf794-8fa4-4a85-8b26-755d087bf531",NA,NA,6,NA,NA,NA,NA,"1986-10-06T00:00:00",NA,"Parasite sur Niébé (Vigna)","Orobanchaceae",6651,NA,"22310",NA,"Burkina Faso","438976039","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"2cd829bb-b713-433d-99cf-64bef11e5b3e",NA,NA,NA,NA,NA,"Morawetz","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520107",NA,NA,"86c2834b-fcd6-418d-9b32-aca45110a0fe","MNHN","http://grbio.org/institution/museum-national-dhistoire-naturelle","6a6ac6c5-1b8a-48db-91a2-f8661274ff80",FALSE,"BF","NE",438976039,"Plantae",6,NA,"2022-10-19T14:21:46.018+00:00","2022-10-19T14:58:44.965+00:00","2022-10-19T14:58:44.965+00:00",12,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,-2.325,NA,NA,10,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520107",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,"hb",NA,NA,"DWC_ARCHIVE","FR","2cd829bb-b713-433d-99cf-64bef11e5b3e","Raynal-Roques, A.",NA,NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Entre Godé et Ipendo (à 100 km de Ouagadougou sur la route de Bobo-Dioulasso)",1986,2022-10-23
"24",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"PRE0675722-0","Magnoliopsida",220,"HOAMIB RIVER VALLEY.; C 20 KM INLAND FROM SEA. ROCKEY HILLS. AMONGST ROCKS., Namibia",NA,NA,NA,NA,NA,"Namibia",174,NA,"d0963cee-1a29-47a2-b9bf-fb0e7690077c",NA,NA,20,NA,NA,NA,NA,"1985-04-20T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Namibia","3707999001","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"c5f7ef70-e233-11d9-a4d6-b8a03c50a862",NA,NA,NA,NA,NA,NA,"453142909",NA,NA,"5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e",NA,NA,NA,FALSE,"NA","NE",3707999001,"Plantae",6,NA,"2022-06-30T14:10:36.240+00:00","2022-09-09T03:13:29.609+00:00","2022-09-09T03:13:29.609+00:00",-19.375,"http://creativecommons.org/licenses/by/4.0/legalcode","HOAMIB RIVER VALLEY.; C 20 KM INLAND FROM SEA. ROCKEY HILLS. AMONGST ROCKS.",NA,NA,12.875,NA,NA,4,NA,NA,NA,NA,NA,"453142909",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","ZA","c5f7ef70-e233-11d9-a4d6-b8a03c50a862","Moss","K321",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,2022-10-23
"26",NA,"Alectra vogelii Benth.",3724340,"Kati",NA,NA,"PRESERVED_SPECIMEN",NA,"P00520110","Magnoliopsida",220,"Sotuba, Kati, Mali","P",NA,"bc3d39fd-a7d4-4763-b951-2bdeddd8a5d2",NA,NA,"Mali",417,NA,"b5cdf794-8fa4-4a85-8b26-755d087bf531",NA,NA,26,NA,NA,NA,NA,"1985-09-26T00:00:00",NA,"Parasite sur Niébé (Vigna unguiculata)","Orobanchaceae",6651,"Plante dressée, peu rameuse, vert clair; fleurs subsessiles; calice vert clair, foliacé. Corolle jaune, étalée le matin; les lobes se redressent en coupe dans la journée. Tige épaisse, charnue, orangé vif dans sa partie enterrée. Haustorium gros, charnu, à section marbrée d'orangé, odorant quand on le coupe","22180",NA,"Mali","438976040","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"2cd829bb-b713-433d-99cf-64bef11e5b3e",NA,NA,NA,NA,NA,"Morawetz","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520110",NA,NA,"86c2834b-fcd6-418d-9b32-aca45110a0fe","MNHN","http://grbio.org/institution/museum-national-dhistoire-naturelle","6a6ac6c5-1b8a-48db-91a2-f8661274ff80",FALSE,"ML","NE",438976040,"Plantae",6,NA,"2022-10-19T14:21:46.018+00:00","2022-10-19T14:58:40.884+00:00","2022-10-19T14:58:40.884+00:00",12.65,"http://creativecommons.org/licenses/by/4.0/legalcode","Sotuba",NA,NA,-7.93333,NA,NA,9,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p00520110",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,"hb",NA,NA,"DWC_ARCHIVE","FR","2cd829bb-b713-433d-99cf-64bef11e5b3e","Raynal-Roques, A.",NA,NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,"Sotuba, centre agronomique,  6 km à l'Est de Bamako",1985,2022-10-23
