"","acceptedScientificName","acceptedTaxonKey","accessRights","adm1","adm2","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","dataGeneralizations","datasetKey","datasetName","dateIdentified","day","dynamicProperties","elevation","elevationAccuracy","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","http://unknown.org/nick","http://unknown.org/occurrenceDetails","http://unknown.org/recordId","identificationID","identificationRemarks","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","installationKey","institutionCode","institutionID","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","locationRemarks","lon","modified","month","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","otherCatalogNumbers","phylum","phylumKey","preparations","previousIdentifications","programmeAcronym","projectId","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rights","rightsHolder","samplingProtocol","scientificName","sex","species","speciesKey","specificEpithet","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","typeStatus","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimTaxonRank","vernacularName","year","downloadDate"
"1","Heteronychus arator (Fabricius, 1775)",4995411,NA,"New South Wales",NA,"HUMAN_OBSERVATION","37731638","Insecta",216,"New South Wales, Australia","Observations",NA,NA,NA,5577,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-01-19T05:01:53",19,NA,NA,NA,"2020-01-19T13:24:20",NA,NA,"02:24:20Z","Dynastidae",4205,NA,NA,"Australia","2563512104","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"lifeisamazing","https://www.inaturalist.org/observations/37731638",NA,"84206268",NA,"Thomas Mesaglio","37731638",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2563512104,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:29:44.580+0000","2020-10-11T14:29:44.580+0000",-31.43304,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,152.9,"2020-01-19T05:01:53.000+0000",1,NA,"https://www.inaturalist.org/observations/37731638",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","lifeisamazing",NA,"https://www.inaturalist.org/observations/37731638","© lifeisamazing some rights reserved","lifeisamazing",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"2020-01-19 1:24:20 PM GMT+11:00","Port Macquarie",NA,NA,2020,2020-10-17
"2","Heteronychus arator (Fabricius, 1775)",4995411,NA,"Northland",NA,"HUMAN_OBSERVATION","37751025","Insecta",216,"Northland, New Zealand","Observations",NA,NA,NA,9,"New Zealand",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-01-20T04:22:13",19,NA,NA,NA,"2020-01-19T10:24:38",NA,NA,"21:24:38Z","Dynastidae",4205,NA,NA,"New Zealand","2563519536","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"felixcollins","https://www.inaturalist.org/observations/37751025",NA,"84307917",NA,"Stephen Thorpe","37751025",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"NZ",2563519536,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:19:57.446+0000","2020-10-11T14:19:57.446+0000",-35.014496,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,NA,173.717988,"2020-01-20T04:22:13.000+0000",1,NA,"https://www.inaturalist.org/observations/37751025",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Felix Collins",NA,"https://www.inaturalist.org/observations/37751025","© Felix Collins some rights reserved","Felix Collins",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"2020-01-19 10:24:38 AM GMT+13:00","Far North, NZ-NO, NZ",NA,NA,2020,2020-10-17
"3","Heteronychus arator (Fabricius, 1775)",4995411,NA,"Western Australia",NA,"HUMAN_OBSERVATION",NA,"Insecta",216,"Western Australia, Australia",NA,NA,NA,NA,NA,"Australia",156,"Identification aligned to national taxonomy. Originally supplied as [[ <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Heteronychus arator]]","e3ce628e-9683-4af7-b7a9-47eef785d3bb",NA,NA,26,NA,NA,NA,"2020-01-26T00:00:00",NA,NA,NA,"Dynastidae",4205,NA,NA,"Australia","2575930561","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a6660a58-b39e-48c9-8ac0-583013e88fcf",NA,NA,NA,"19893c10-381e-4534-9bb8-6c37d03ad29e",NA,NA,"AU",2575930561,"Animalia",1,NA,"2020-10-07T21:23:20.479+0000","2020-10-07T21:28:32.356+0000","2020-10-07T21:28:32.356+0000",-34.3,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,116.1,NA,1,NA,"a6660a58-b39e-48c9-8ac0-583013e88fcf",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","AU","17726825-3aa2-4fbc-b0e3-303d3fc5702f","<a href='https://bee.questagame.com/#/profile/15286?questagame_user_id=15286'>Jordana1971 | questagame.com</a>","questagame-331449","https://biocache.ala.org.au/occurrences/a6660a58-b39e-48c9-8ac0-583013e88fcf",NA,NA,NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator","urn:lsid:biodiversity.org.au:afd.taxon:9ecb8f2e-7852-4eea-badf-6fabc5ec1079",NA,4995411,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"African Black Beetle",2020,2020-10-17
"4","Heteronychus arator (Fabricius, 1775)",4995411,NA,"South Australia",NA,"HUMAN_OBSERVATION","38627881","Insecta",216,"South Australia, Australia","Observations",NA,NA,NA,NA,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-02-23T01:28:31",14,NA,NA,NA,"2020-02-14T00:00:00",NA,NA,NA,"Dynastidae",4205,NA,NA,"Australia","2573868944","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"savvik","https://www.inaturalist.org/observations/38627881",NA,"88028852",NA,"Thomas Mesaglio","38627881",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2573868944,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:20:41.653+0000","2020-10-11T14:20:41.653+0000",-34.930038,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,138.496155,"2020-04-22T12:54:00.000+0000",2,NA,"https://www.inaturalist.org/observations/38627881",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Deb Moseby",NA,"https://www.inaturalist.org/observations/38627881","© Deb Moseby some rights reserved","Deb Moseby",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"2020-02-14 8:43:48 AM GMT+10:30","Henley Beach South SA 5022, Australia",NA,NA,2020,2020-10-17
"5","Heteronychus arator (Fabricius, 1775)",4995411,NA,"New South Wales",NA,"HUMAN_OBSERVATION","38344158","Insecta",216,"New South Wales, Australia","Observations",NA,NA,NA,12,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations",NA,6,NA,NA,NA,"2020-02-06T10:28:23",NA,NA,"23:28:23Z","Dynastidae",4205,NA,NA,"Australia","2574087197","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"bronzewailer","https://www.inaturalist.org/observations/38344158",NA,NA,NA,"Thomas Mesaglio","38344158",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2574087197,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:20:02.171+0000","2020-10-11T14:20:02.171+0000",-33.7884,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,151.080047,"2020-02-06T12:47:22.000+0000",2,NA,"https://www.inaturalist.org/observations/38344158",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","bronzewailer",NA,"https://www.inaturalist.org/observations/38344158","© bronzewailer some rights reserved","bronzewailer",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"Thu Feb 06 2020 10:28:23 GMT+1100 (GMT+11)","Eastwood Park, Eastwood, NSW, AU",NA,NA,2020,2020-10-17
"6","Heteronychus arator (Fabricius, 1775)",4995411,NA,"New South Wales",NA,"HUMAN_OBSERVATION","38176542","Insecta",216,"New South Wales, Australia","Observations",NA,NA,NA,4,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-02-02T13:32:58",1,NA,NA,NA,"2020-02-01T22:23:22",NA,NA,"11:23:22Z","Dynastidae",4205,NA,NA,"Australia","2574144772","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"louten","https://www.inaturalist.org/observations/38176542",NA,"85688948",NA,"Thomas Mesaglio","38176542",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2574144772,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:29:14.772+0000","2020-10-11T14:29:14.772+0000",-33.575742,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,150.62738,"2020-02-02T13:32:58.000+0000",2,NA,"https://www.inaturalist.org/observations/38176542",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","louten",NA,"https://www.inaturalist.org/observations/38176542","© louten some rights reserved","louten",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"Sat Feb 01 2020 22:23:22 GMT+1100 (GMT+11)","Bowen Mountain Road, Bowen Mountain, NSW, AU",NA,NA,2020,2020-10-17
"7","Heteronychus arator (Fabricius, 1775)",4995411,NA,"New South Wales",NA,"HUMAN_OBSERVATION","38621283","Insecta",216,"New South Wales, Australia","Observations",NA,NA,NA,30,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-02-14T01:24:42",14,NA,NA,NA,"2020-02-14T11:27:13",NA,NA,"00:27:13Z","Dynastidae",4205,NA,NA,"Australia","2574188941","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"gerritvandenbergh","https://www.inaturalist.org/observations/38621283",NA,"86912525",NA,"Thomas Mesaglio","38621283",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2574188941,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:44:06.176+0000","2020-10-11T14:44:06.176+0000",-33.928745,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,151.153778,"2020-02-14T01:24:42.000+0000",2,NA,"https://www.inaturalist.org/observations/38621283",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","gerritvandenbergh",NA,"https://www.inaturalist.org/observations/38621283","© gerritvandenbergh some rights reserved","gerritvandenbergh",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"Fri Feb 14 2020 11:27:13 GMT+1100 (GMT+11)","Magdalene Terrace, Wolli Creek, NSW, AU",NA,NA,2020,2020-10-17
"8","Heteronychus arator (Fabricius, 1775)",4995411,NA,"South Australia",NA,"HUMAN_OBSERVATION","38504441","Insecta",216,"South Australia, Australia","Observations",NA,NA,NA,250,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-02-10T14:18:36",10,NA,NA,NA,"2020-02-10T19:57:00",NA,NA,"09:27:00Z","Dynastidae",4205,NA,NA,"Australia","2574256744","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"rhytiphora","https://www.inaturalist.org/observations/38504441",NA,"86547383",NA,"Mark Hura","38504441",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2574256744,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:20:08.140+0000","2020-10-11T14:20:08.140+0000",-34.787638,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,138.623951,"2020-02-11T12:10:38.000+0000",2,NA,"https://www.inaturalist.org/observations/38504441",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Mark Hura",NA,"https://www.inaturalist.org/observations/38504441","© Mark Hura some rights reserved","Mark Hura",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"2020/02/10 7:57 PM ACDT","Adelaide SA, Australia",NA,NA,2020,2020-10-17
"9","Heteronychus arator (Fabricius, 1775)",4995411,NA,"New South Wales",NA,"HUMAN_OBSERVATION","39073033","Insecta",216,"New South Wales, Australia","Observations",NA,NA,NA,NA,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-02-23T03:36:01",23,NA,NA,NA,"2020-02-23T11:52:27",NA,NA,"00:52:27Z","Dynastidae",4205,NA,NA,"Australia","2576303307","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"notsocrabbyabby","https://www.inaturalist.org/observations/39073033",NA,"88040768",NA,"Thomas Mesaglio","39073033",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2576303307,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:33:29.293+0000","2020-10-11T14:33:29.293+0000",-30.501289,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,151.667164,"2020-03-07T12:38:04.000+0000",2,NA,"https://www.inaturalist.org/observations/39073033",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Abby Davis",NA,"https://www.inaturalist.org/observations/39073033","© Abby Davis some rights reserved","Abby Davis",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"2020-02-23 11:52:27 AM GMT+11:00","Armidale NSW 2350, Australia",NA,NA,2020,2020-10-17
"10","Heteronychus arator (Fabricius, 1775)",4995411,NA,"Hawke's Bay",NA,"HUMAN_OBSERVATION","39511104","Insecta",216,"Hawke's Bay, New Zealand","Observations",NA,NA,NA,NA,"New Zealand",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-03-04T00:38:31",1,NA,NA,NA,"2020-02-01T13:09:00",NA,NA,"00:09:00Z","Dynastidae",4205,NA,NA,"New Zealand","2576461113","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"ngaro","https://www.inaturalist.org/observations/39511104",NA,"89194623",NA,"Julia Kasper","39511104",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"NZ",2576461113,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:20:02.299+0000","2020-10-11T14:20:02.299+0000",-39.300327,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,NA,176.973481,"2020-03-04T03:34:54.000+0000",2,NA,"https://www.inaturalist.org/observations/39511104",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Julia Kasper",NA,"https://www.inaturalist.org/observations/39511104","By Julia Kasper no rights reserved","Julia Kasper",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"2020/02/01 1:09 PM +1300","Waipatiki",NA,NA,2020,2020-10-17
"11","Heteronychus arator (Fabricius, 1775)",4995411,NA,"New South Wales",NA,"HUMAN_OBSERVATION","39271204","Insecta",216,"New South Wales, Australia","Observations",NA,NA,NA,10,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-03-13T23:59:09",11,NA,NA,NA,"2020-02-11T17:33:46",NA,NA,"06:33:46Z","Dynastidae",4205,NA,NA,"Australia","2579222785","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"nomad0101","https://www.inaturalist.org/observations/39271204",NA,"90306456",NA,"Thomas Mesaglio","39271204",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2579222785,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:20:01.372+0000","2020-10-11T14:20:01.372+0000",-33.811358,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,NA,151.020006,"2020-03-13T23:59:09.000+0000",2,NA,"https://www.inaturalist.org/observations/39271204",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Hiranya Anderson",NA,"https://www.inaturalist.org/observations/39271204","By Hiranya Anderson no rights reserved","Hiranya Anderson",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"Tue Feb 11 2020 17:33:46 GMT+1100 (GMT+11)","Pemberton Street, Parramatta, NSW, AU",NA,NA,2020,2020-10-17
"12","Heteronychus arator (Fabricius, 1775)",4995411,NA,"Victoria",NA,"HUMAN_OBSERVATION","39680809","Insecta",216,"Victoria, Australia","Observations",NA,NA,NA,65,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-03-08T02:36:50",8,NA,NA,NA,"2020-03-08T12:56:18",NA,NA,"01:56:18Z","Dynastidae",4205,NA,NA,"Australia","2579326120","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"greynomads","https://www.inaturalist.org/observations/39680809",NA,"89633399",NA,"Thomas Mesaglio","39680809",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2579326120,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:40:15.300+0000","2020-10-11T14:40:15.300+0000",-37.581627,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,144.759746,"2020-03-08T02:36:50.000+0000",3,NA,"https://www.inaturalist.org/observations/39680809",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","greynomads",NA,"https://www.inaturalist.org/observations/39680809","© greynomads some rights reserved","greynomads",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"Sun Mar 08 2020 12:56:18 GMT+1100 (GMT+11)","Turnberry Drive, Sunbury, VIC, AU",NA,NA,2020,2020-10-17
"13","Heteronychus arator (Fabricius, 1775)",4995411,NA,"Victoria",NA,"HUMAN_OBSERVATION","39857124","Insecta",216,"Victoria, Australia","Observations",NA,NA,NA,1441,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-03-11T22:02:25",12,NA,NA,NA,"2020-03-12T08:53:57",NA,NA,"21:53:57Z","Dynastidae",4205,NA,NA,"Australia","2579355559","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"davidtattersall1","https://www.inaturalist.org/observations/39857124",NA,"90077363",NA,"David Tattersall","39857124",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2579355559,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:30:08.099+0000","2020-10-11T14:30:08.099+0000",-38.478319,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,145.942,"2020-03-11T23:37:06.000+0000",3,NA,"https://www.inaturalist.org/observations/39857124",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","David Tattersall",NA,"https://www.inaturalist.org/observations/39857124","© David Tattersall some rights reserved","David Tattersall",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"2020-03-12 8:53:57 AM GMT+11:00","Leongatha VIC 3953, Australia",NA,NA,2020,2020-10-17
"14","Heteronychus arator (Fabricius, 1775)",4995411,NA,"Auckland",NA,"HUMAN_OBSERVATION","39823196","Insecta",216,"Auckland, New Zealand","Observations",NA,NA,NA,65,"New Zealand",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-03-11T19:10:10",11,NA,NA,NA,"2020-03-11T14:33:33",NA,NA,"01:33:33Z","Dynastidae",4205,NA,NA,"New Zealand","2579365507","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"jmmorgan","https://www.inaturalist.org/observations/39823196",NA,"90058721",NA,"Stephen Thorpe","39823196",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"NZ",2579365507,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:43:45.915+0000","2020-10-11T14:43:45.915+0000",-36.814087,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,174.726975,"2020-03-11T19:10:10.000+0000",3,NA,"https://www.inaturalist.org/observations/39823196",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","jmmorgan",NA,"https://www.inaturalist.org/observations/39823196","© jmmorgan some rights reserved","jmmorgan",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"Wed Mar 11 2020 14:33:33 GMT+1300 (GMT+13)","Mariposa Crescent, Birkenhead, Auckland, NZ",NA,NA,2020,2020-10-17
"15","Heteronychus arator (Fabricius, 1775)",4995411,NA,"Auckland",NA,"HUMAN_OBSERVATION","39832872","Insecta",216,"Auckland, New Zealand","Observations",NA,NA,NA,35,"New Zealand",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-03-11T09:59:06",11,NA,NA,NA,"2020-03-11T21:10:17",NA,NA,"08:10:17Z","Dynastidae",4205,NA,NA,"New Zealand","2579373506","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"aucklandgnome","https://www.inaturalist.org/observations/39832872",NA,"90015340",NA,"Samuel Brown","39832872",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"NZ",2579373506,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:20:28.467+0000","2020-10-11T14:20:28.467+0000",-36.852211,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,174.757624,"2020-03-11T09:59:06.000+0000",3,NA,"https://www.inaturalist.org/observations/39832872",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","aucklandgnome",NA,"https://www.inaturalist.org/observations/39832872","© aucklandgnome some rights reserved","aucklandgnome",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"Wed Mar 11 2020 21:10:17 GMT+1300 (GMT+13)","Nelson Street, Auckland, Auckland, NZ",NA,NA,2020,2020-10-17
"16","Heteronychus arator (Fabricius, 1775)",4995411,NA,"Victoria",NA,"HUMAN_OBSERVATION","40626227","Insecta",216,"Victoria, Australia","Observations",NA,NA,NA,108,"Australia",235,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2020-03-24T06:37:09",2,NA,NA,NA,"2020-03-02T17:25:00",NA,NA,"06:25:00Z","Dynastidae",4205,NA,NA,"Australia","2596167838","Heteronychus","Heteronychus",1075431,"WGS84",NA,NA,NA,NA,NA,"grace_sibley","https://www.inaturalist.org/observations/40626227",NA,"91815657",NA,"grace_sibley","40626227",NA,NA,NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,"AU",2596167838,"Animalia",1,NA,"2020-10-11T12:19:52.988+0000","2020-10-11T14:30:13.179+0000","2020-10-11T14:30:13.179+0000",-37.829911,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,144.975132,"2020-04-06T12:56:45.000+0000",3,NA,"https://www.inaturalist.org/observations/40626227",NA,"PRESENT","Coleoptera",1470,NA,"Arthropoda",54,NA,NA,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","grace_sibley",NA,"https://www.inaturalist.org/observations/40626227","© grace_sibley some rights reserved","grace_sibley",NA,"Heteronychus arator (Fabricius, 1775)",NA,"Heteronychus arator",4995411,"arator",NA,"320989",4995411,"ACCEPTED","SPECIES",NA,NA,NA,"2020/03/02 5:25 PM AEDT","Melbourne VIC, Australia",NA,NA,2020,2020-10-17
